TEST TYPE	UPDATE MILLISECS	NUM FIGHTER	NUM BLUE	NUM PURPLE	ALIVE
SCALAR	42	1040	16	1024	854
SCALAR	42	1040	16	1024	854
SCALAR	41	1040	16	1024	854
SCALAR	46	1040	16	1024	853
SCALAR	51	1040	16	1024	853
SCALAR	52	1040	16	1024	851
SCALAR	45	1040	16	1024	850
SCALAR	51	1040	16	1024	850
SCALAR	49	1040	16	1024	850
SCALAR	46	1040	16	1024	848
SCALAR	40	1040	16	1024	848
SCALAR	61	1040	16	1024	848
SCALAR	63	1040	16	1024	847
SCALAR	55	1040	16	1024	847
SCALAR	49	1040	16	1024	847
SCALAR	45	1040	16	1024	847
SCALAR	26	1040	16	1024	846
SCALAR	29	1040	16	1024	845
SCALAR	53	1040	16	1024	845
SCALAR	47	1040	16	1024	843
SCALAR	32	1040	16	1024	841
SCALAR	36	1040	16	1024	841
SCALAR	31	1040	16	1024	841
SCALAR	41	1040	16	1024	840
SCALAR	35	1040	16	1024	838
SCALAR	37	1040	16	1024	837
SCALAR	32	1040	16	1024	837
SCALAR	32	1040	16	1024	837
SCALAR	47	1040	16	1024	837
SCALAR	31	1040	16	1024	837
SCALAR	33	1040	16	1024	836
SCALAR	43	1040	16	1024	836
SCALAR	32	1040	16	1024	836
SCALAR	34	1040	16	1024	835
SCALAR	32	1040	16	1024	835
SCALAR	38	1040	16	1024	834
SCALAR	122	1040	16	1024	834
SCALAR	39	1040	16	1024	834
SCALAR	26	1040	16	1024	833
SCALAR	41	1040	16	1024	833
SCALAR	28	1040	16	1024	833
SCALAR	30	1040	16	1024	833
SCALAR	28	1040	16	1024	833
SCALAR	31	1040	16	1024	832
SCALAR	32	1040	16	1024	831
SCALAR	29	1040	16	1024	831
SCALAR	28	1040	16	1024	830
SCALAR	25	1040	16	1024	830
SCALAR	27	1040	16	1024	830
SCALAR	27	1040	16	1024	830
SCALAR	26	1040	16	1024	829
SCALAR	24	1040	16	1024	828
SCALAR	23	1040	16	1024	828
SCALAR	30	1040	16	1024	828
SCALAR	33	1040	16	1024	828
SCALAR	29	1040	16	1024	828
SCALAR	30	1040	16	1024	828
SCALAR	31	1040	16	1024	827
SCALAR	33	1040	16	1024	827
SCALAR	27	1040	16	1024	827
SCALAR	56	1040	16	1024	827
SCALAR	64	1040	16	1024	827
SCALAR	53	1040	16	1024	827
SCALAR	34	1040	16	1024	827
SCALAR	33	1040	16	1024	827
SCALAR	30	1040	16	1024	826
SCALAR	30	1040	16	1024	825
SCALAR	29	1040	16	1024	825
SCALAR	29	1040	16	1024	825
SCALAR	35	1040	16	1024	825
SCALAR	32	1040	16	1024	825
SCALAR	31	1040	16	1024	825
SCALAR	37	1040	16	1024	825
SCALAR	44	1040	16	1024	825
SCALAR	31	1040	16	1024	825
SCALAR	35	1040	16	1024	825
SCALAR	31	1040	16	1024	824
SCALAR	41	1040	16	1024	824
SCALAR	41	1040	16	1024	823
SCALAR	32	1040	16	1024	823
SCALAR	31	1040	16	1024	823
SCALAR	31	1040	16	1024	821
SCALAR	32	1040	16	1024	820
SCALAR	33	1040	16	1024	820
SCALAR	31	1040	16	1024	820
SCALAR	29	1040	16	1024	820
SCALAR	28	1040	16	1024	820
SCALAR	32	1040	16	1024	820
SCALAR	24	1040	16	1024	820
SCALAR	24	1040	16	1024	820
SCALAR	46	1040	16	1024	820
SCALAR	26	1040	16	1024	820
SCALAR	25	1040	16	1024	820
SCALAR	26	1040	16	1024	820
SCALAR	23	1040	16	1024	820
SCALAR	37	1040	16	1024	820
SCALAR	25	1040	16	1024	820
SCALAR	26	1040	16	1024	820
SCALAR	29	1040	16	1024	820
SCALAR	33	1040	16	1024	819
SCALAR	24	1040	16	1024	819
SCALAR	30	1040	16	1024	819
SCALAR	28	1040	16	1024	819
SCALAR	27	1040	16	1024	819
SCALAR	28	1040	16	1024	819
SCALAR	25	1040	16	1024	819
SCALAR	32	1040	16	1024	819
SCALAR	27	1040	16	1024	818
SCALAR	30	1040	16	1024	818
SCALAR	27	1040	16	1024	817
SCALAR	32	1040	16	1024	817
SCALAR	23	1040	16	1024	816
SCALAR	33	1040	16	1024	816
SCALAR	27	1040	16	1024	816
SCALAR	25	1040	16	1024	816
SCALAR	28	1040	16	1024	816
